date,kse_close
2018-05-15,42459.53
2018-05-16,42301.2
2018-05-17,41869.65
2018-05-18,41623.52
2018-05-21,41648.65
2018-05-22,42744.82
2018-05-23,42772.25
2018-05-24,42536.159999999996
2018-05-25,42074.09
2018-05-28,42138.57
2018-05-29,42622.74
2018-05-30,42546.48
2018-05-31,42846.64
2018-06-01,42912.810000000005
2018-06-04,43268.28999999999
2018-06-05,43702.58
2018-06-06,44144.2
2018-06-07,43948.11
2018-06-11,43931.159999999996
2018-06-12,43228.9
2018-06-13,43507.5
2018-06-14,43680.68
2018-06-19,43682.840000000004
2018-06-20,43002.83
2018-06-21,42358.61
2018-06-22,41637.380000000005
2018-06-25,40978.229999999996
2018-06-26,41246.09
2018-06-27,41717.99
2018-06-28,41997.850000000006
2018-06-29,41910.9
2018-07-02,41734.05
2018-07-03,41564.42
2018-07-04,40345.68
2018-07-05,40238.810000000005
2018-07-06,40284.14
2018-07-09,39288.48
2018-07-10,39452.810000000005
2018-07-11,39586.759999999995
2018-07-12,39875.119999999995
2018-07-13,40271
2018-07-16,39665.77
2018-07-17,39932.98
2018-07-18,40897.9
2018-07-19,41795.59
2018-07-20,41221.75
2018-07-23,40463.98
2018-07-24,41339.219999999994
2018-07-26,42089.159999999996
2018-07-27,42786.450000000004
2018-07-30,43556.63
2018-07-31,42712.43
2018-08-01,42810.04
2018-08-02,42330.32
2018-08-03,42505.05
2018-08-06,42808.659999999996
2018-08-07,42760.13
2018-08-08,42731.86
2018-08-09,42923.950000000004
2018-08-10,42842.18
2018-08-13,42637.58
2018-08-15,42446.56
2018-08-16,41960.8
2018-08-17,42446.619999999995
2018-08-20,42425.1
2018-08-24,42588.28999999999
2018-08-27,42745.78
2018-08-28,42544.47
2018-08-29,42249.44
2018-08-30,41863.52
2018-08-31,41742.24
2018-09-03,41581.96
2018-09-04,41753.89
2018-09-05,41620.96
2018-09-06,41266.39
2018-09-07,40854.77
2018-09-10,40684.05
2018-09-11,40759.53
2018-09-12,40522.04
2018-09-13,41049.91
2018-09-14,40920.310000000005
2018-09-17,40520.47
2018-09-18,41238.07
2018-09-19,41320.13
2018-09-24,41004.55
2018-09-25,41036.3
2018-09-26,40909.91
2018-09-27,40851.8
2018-09-28,40998.59
2018-10-01,40929.44
2018-10-02,40800.25
2018-10-03,40560.189999999995
2018-10-04,40087.119999999995
2018-10-05,39226.350000000006
2018-10-08,37898.28999999999
2018-10-09,38504.840000000004
2018-10-10,38792.09
2018-10-11,38398.3
2018-10-12,37517.93
2018-10-15,36767.57
2018-10-16,36663.380000000005
2018-10-17,37647.340000000004
2018-10-18,37982.25
2018-10-19,38430.27
2018-10-22,38345.42
2018-10-23,37714.9
2018-10-24,39271.119999999995
2018-10-25,39631.91
2018-10-26,40556.450000000004
2018-10-29,41453.759999999995
2018-10-30,41609.03
2018-10-31,41649.36
2018-11-01,41716.1
2018-11-02,42004.09
2018-11-05,41493.96
2018-11-06,40958.53
2018-11-07,41543.98
2018-11-08,41367.380000000005
2018-11-09,41388.880000000005
2018-11-12,41096.33
2018-11-13,41152.28
2018-11-14,40994.05
2018-11-15,41428.63
2018-11-16,41660.75
2018-11-19,41352.77
2018-11-20,41419.24
2018-11-22,40874.03
2018-11-23,40869.28
2018-11-26,40771.55
2018-11-27,40894.219999999994
2018-11-28,40704.8
2018-11-29,40638.83
2018-11-30,40496.03
2018-12-03,39160.6
2018-12-04,39602.87
2018-12-05,39303.11
2018-12-06,38300.619999999995
2018-12-07,38562.05
2018-12-10,39299.619999999995
2018-12-11,38851.96
2018-12-12,38307.44
2018-12-13,38011.63
2018-12-14,38585.659999999996
2018-12-17,38309.17
2018-12-18,38115.810000000005
2018-12-19,38063.15
2018-12-20,38236.52
2018-12-21,38251.04
2018-12-24,38308.92
